Ticker,Mean_Return,Volatility,Sharpe_Ratio,Start_Price,End_Price
AAPL,0.12048653895828723,0.24184658909199647,0.4981940800184498,150,164.3024484020113
MSFT,0.29299767667761406,0.2203330167199317,1.329794694591993,300,392.0651865724187
GOOGL,-0.2858938031163454,0.27543391903503434,-1.0379760202300305,140,101.39234654835691
AMZN,0.8559626645245496,0.2857675776542934,2.995310635134572,170,382.49766248137246
TSLA,1.0487396352269682,0.5150033106667963,2.0363745504259403,250,622.0409767917251
JPM,0.4092436941232104,0.1972860813688817,2.074366783929447,145,213.74395294447007
V,0.3794679494204356,0.22912086283905236,1.6561911679208177,230,326.93157429403294
JNJ,0.06394859572396872,0.1464938886482724,0.4365273958800251,160,168.71656530771676
WMT,-0.017535126107577476,0.17885651599731509,-0.09804018606647076,145,140.24424607319014
PG,0.15408159570551008,0.15144945608466573,1.0173796571403524,140,161.3721229172851
